## 生値ビン → P(晴れ) テーブル (麓 4 地点プール, 暖候期 2026-06-12〜09-17, 日中, 山頂 1700〜2899m; thin = n<30; 使う値は n 重み付き PAV で単調化, JSON の p_sunny_used)
shape: (40, 7)
┌──────────────┬───────┬──────────┬──────┬─────────┬───────┬────────────────┐
│ model        ┆ lead  ┆ bin      ┆ n    ┆ p_sunny ┆ thin  ┆ share_of_hours │
│ ---          ┆ ---   ┆ ---      ┆ ---  ┆ ---     ┆ ---   ┆ ---            │
│ str          ┆ str   ┆ str      ┆ i64  ┆ f64     ┆ bool  ┆ f64            │
╞══════════════╪═══════╪══════════╪══════╪═════════╪═══════╪════════════════╡
│ ecmwf_ifs025 ┆ d1-2  ┆ 0        ┆ 1227 ┆ 0.737   ┆ false ┆ 0.194          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (0,10]   ┆ 1929 ┆ 0.492   ┆ false ┆ 0.305          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (10,20]  ┆ 1062 ┆ 0.271   ┆ false ┆ 0.168          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (20,30]  ┆ 866  ┆ 0.206   ┆ false ┆ 0.137          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (30,40]  ┆ 490  ┆ 0.120   ┆ false ┆ 0.077          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (40,50]  ┆ 343  ┆ 0.052   ┆ false ┆ 0.054          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (50,70]  ┆ 315  ┆ 0.016   ┆ false ┆ 0.050          │
│ ecmwf_ifs025 ┆ d1-2  ┆ (70,100] ┆ 92   ┆ 0.000   ┆ false ┆ 0.015          │
│ ecmwf_ifs025 ┆ d3-5  ┆ 0        ┆ 1737 ┆ 0.697   ┆ false ┆ 0.178          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (0,10]   ┆ 3147 ┆ 0.485   ┆ false ┆ 0.323          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (10,20]  ┆ 1705 ┆ 0.288   ┆ false ┆ 0.175          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (20,30]  ┆ 1213 ┆ 0.222   ┆ false ┆ 0.124          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (30,40]  ┆ 806  ┆ 0.159   ┆ false ┆ 0.083          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (40,50]  ┆ 541  ┆ 0.115   ┆ false ┆ 0.056          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (50,70]  ┆ 478  ┆ 0.065   ┆ false ┆ 0.049          │
│ ecmwf_ifs025 ┆ d3-5  ┆ (70,100] ┆ 117  ┆ 0.085   ┆ false ┆ 0.012          │
│ ecmwf_ifs025 ┆ d6-10 ┆ 0        ┆ 2970 ┆ 0.505   ┆ false ┆ 0.191          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (0,10]   ┆ 5162 ┆ 0.415   ┆ false ┆ 0.331          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (10,20]  ┆ 2500 ┆ 0.300   ┆ false ┆ 0.160          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (20,30]  ┆ 1882 ┆ 0.325   ┆ false ┆ 0.121          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (30,40]  ┆ 1389 ┆ 0.315   ┆ false ┆ 0.089          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (40,50]  ┆ 844  ┆ 0.257   ┆ false ┆ 0.054          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (50,70]  ┆ 663  ┆ 0.232   ┆ false ┆ 0.043          │
│ ecmwf_ifs025 ┆ d6-10 ┆ (70,100] ┆ 170  ┆ 0.129   ┆ false ┆ 0.011          │
│ jma_msm      ┆ d1-2  ┆ 0        ┆ 1167 ┆ 0.719   ┆ false ┆ 0.185          │
│ jma_msm      ┆ d1-2  ┆ (0,10]   ┆ 1476 ┆ 0.511   ┆ false ┆ 0.233          │
│ jma_msm      ┆ d1-2  ┆ (10,20]  ┆ 1192 ┆ 0.362   ┆ false ┆ 0.188          │
│ jma_msm      ┆ d1-2  ┆ (20,30]  ┆ 762  ┆ 0.247   ┆ false ┆ 0.120          │
│ jma_msm      ┆ d1-2  ┆ (30,40]  ┆ 578  ┆ 0.149   ┆ false ┆ 0.091          │
│ jma_msm      ┆ d1-2  ┆ (40,50]  ┆ 440  ┆ 0.118   ┆ false ┆ 0.070          │
│ jma_msm      ┆ d1-2  ┆ (50,70]  ┆ 468  ┆ 0.073   ┆ false ┆ 0.074          │
│ jma_msm      ┆ d1-2  ┆ (70,100] ┆ 241  ┆ 0.071   ┆ false ┆ 0.038          │
│ jma_msm      ┆ d3-4  ┆ 0        ┆ 1474 ┆ 0.585   ┆ false ┆ 0.248          │
│ jma_msm      ┆ d3-4  ┆ (0,10]   ┆ 1377 ┆ 0.454   ┆ false ┆ 0.232          │
│ jma_msm      ┆ d3-4  ┆ (10,20]  ┆ 1073 ┆ 0.377   ┆ false ┆ 0.181          │
│ jma_msm      ┆ d3-4  ┆ (20,30]  ┆ 645  ┆ 0.264   ┆ false ┆ 0.109          │
│ jma_msm      ┆ d3-4  ┆ (30,40]  ┆ 470  ┆ 0.238   ┆ false ┆ 0.079          │
│ jma_msm      ┆ d3-4  ┆ (40,50]  ┆ 355  ┆ 0.146   ┆ false ┆ 0.060          │
│ jma_msm      ┆ d3-4  ┆ (50,70]  ┆ 373  ┆ 0.123   ┆ false ┆ 0.063          │
│ jma_msm      ┆ d3-4  ┆ (70,100] ┆ 176  ┆ 0.040   ┆ false ┆ 0.030          │
└──────────────┴───────┴──────────┴──────┴─────────┴───────┴────────────────┘
