scored mountain-days: 1140, changed: 144
name day score_0.1 score_0.5 wet_0.1 wet_0.5 | hours 0.1-0.4 / >=0.5 (whole day, MSM) | max mm/h | day sum mm
黒岳(御坂山地)     2026-09-19    0.0 ->   30.1  100.0(14/14h M 湿8) 2.8mm -> 85.7(12/14h M 湿10) 2.8mm |  8 /  2 | 1.3 | 3.9
木曽御嶽山        2026-09-21   27.4 ->   53.8  92.5(13/14h M11 確3 湿1) 6.2mm -> 71.1(10/14h M11 確3 湿4) 6.2mm |  6 /  9 | 12.0 | 39.3
谷川岳          2026-09-20    0.0 ->   24.8  100.0(14/14h M 湿2) 12.3mm -> 92.9(13/14h M 湿5) 12.3mm |  4 / 13 | 2.9 | 20.1
立山(雄山)       2026-09-20   69.3 ->   86.9  50.0(7/14h M) 3.4mm    -> 21.4(3/14h M) 3.4mm    |  5 /  8 | 0.9 | 7.3
立山(雄山)       2026-09-19   82.2 ->   96.0  28.6(4/14h M) 0.5mm    -> 0.0(0/14h M) 0.5mm     |  5 /  0 | 0.3 | 0.8
至仏山          2026-09-20   26.5 ->   37.5  92.9(13/14h M 湿1) 16.2mm -> 85.7(12/14h M 湿2) 16.2mm |  2 / 15 | 4.0 | 27.2
乾徳山          2026-09-19   36.2 ->   46.7  78.6(11/14h M 湿5) 1.2mm -> 64.3(9/14h M 湿9) 1.2mm |  6 /  1 | 0.5 | 1.7
鍋割山          2026-09-19   58.9 ->   68.0  57.1(8/14h M 湿1) 3.1mm -> 42.9(6/14h M 湿2) 3.1mm |  5 /  6 | 0.7 | 4.8
白馬岳          2026-09-20   74.0 ->   82.7  42.9(6/14h M 湿1) 1.2mm -> 28.6(4/14h M 湿3) 1.2mm |  7 /  3 | 1.6 | 4.1
西吾妻山         2026-09-20   37.0 ->   45.3  85.7(12/14h M 湿2) 6.3mm -> 78.6(11/14h M 湿4) 6.3mm |  4 / 13 | 1.5 | 13.0
木曽御嶽山        2026-09-20   34.4 ->   42.2  85.7(12/14h M) 13.5mm  -> 78.6(11/14h M) 13.5mm  |  2 / 15 | 2.1 | 18.0
白山(御前峰)      2026-09-20   87.6 ->   95.2  21.4(3/14h M) 1.0mm    -> 7.1(1/14h M) 1.0mm     |  2 /  2 | 0.5 | 1.5
乗鞍岳(剣ヶ峰)     2026-09-20   46.1 ->   53.7  78.6(11/14h M) 14.2mm  -> 64.3(9/14h M) 14.2mm   |  3 / 13 | 3.1 | 17.1
白馬岳          2026-09-19   86.3 ->   93.8  21.4(3/14h M) 1.0mm    -> 7.1(1/14h M) 1.0mm     |  4 /  1 | 0.8 | 1.3
唐松岳          2026-09-19   85.3 ->   92.7  21.4(3/14h M) 1.0mm    -> 7.1(1/14h M) 1.0mm     |  4 /  1 | 0.8 | 1.3
入笠山          2026-09-19   83.2 ->   90.5  21.4(3/14h M) 1.3mm    -> 7.1(1/14h M) 1.3mm     |  4 /  1 | 0.6 | 1.5
金峰山          2026-09-19   36.9 ->   43.7  64.3(9/14h M 湿3) 1.2mm -> 50.0(7/14h M 湿7) 1.2mm |  6 /  1 | 0.5 | 1.7
磐梯山          2026-09-20   43.4 ->   50.1  78.6(11/14h M 湿1) 10.4mm -> 71.4(10/14h M 湿1) 10.4mm |  2 / 14 | 1.9 | 16.0
槍ヶ岳          2026-09-20   53.3 ->   59.5  71.4(10/14h M) 8.9mm   -> 64.3(9/14h M 湿3) 8.9mm |  4 / 11 | 1.9 | 15.0
筑波山(女体山)     2026-09-19   27.7 ->   33.9  85.7(12/14h M 湿9) 0.4mm -> 78.6(11/14h M 湿11) 0.4mm |  4 /  0 | 0.2 | 0.5
西穂高岳         2026-09-20   51.5 ->   57.6  71.4(10/14h M) 9.9mm   -> 64.3(9/14h M 湿2) 9.9mm |  4 / 11 | 2.0 | 14.7
